Rank,Location,Country,Territory,Population per square area,Population,Land area
1, Macau (China), Macau,China,"21000
",704150,"33
"
2, Monaco, Monaco,,"18000
",36298,"2.0
"
3, Singapore, Singapore,,"8250
",6014723,"729
"
4, Hong Kong (China), Hong Kong,China,"6725
",7491609,"1114
"
5, Gaza Strip (Palestine), Gaza Strip,Palestine,"5749
",2098389,"365
"
6, Gibraltar (UK), Gibraltar,UK,"4800
",32688,"6.8
"
7, Bahrain, Bahrain,,"1910
",1485510,"778
"
8, Maldives, Maldives,,"1750
",523787,"300
"
9, Malta, Malta,,"1700
",535065,"315
"
10, Vatican City, Vatican City,,"1600
",764,"0.49
"
11, Sint Maarten (NL), Sint Maarten,NL,"1300
",44222,"34
"
12, Bermuda (UK), Bermuda,UK,"1200
",64069,"54
"
13, Bangladesh, Bangladesh,,"1165
",172954319,"148460
"
14, Guernsey (UK), Guernsey,UK,"990
",63544,"64
"
15, Jersey (UK), Jersey,UK,"964
",111803,"116
"
16, Mayotte (France), Mayotte,France,"913
",335995,"368
"
17, Palestine, Palestine,,"892
",5371230,"6020
"
18, Taiwan, Taiwan,,"676
",23923277,"35410
"
19, Mauritius, Mauritius,,"657
",1300557,"1979
"
20, Barbados, Barbados,,"654
",281996,"431
"
21, Nauru, Nauru,,"610
",12780,"21
"
22, Saint Martin (France), Saint Martin,France,"610
",32077,"53
"
23, Aruba (NL), Aruba,NL,"590
",106277,"180
"
24, San Marino, San Marino,,"550
",33642,"61
"
25, Rwanda, Rwanda,,"535
",14094683,"26338
"
26, South Korea, South Korea,,"516
",51784059,"100413
"
27, Lebanon, Lebanon,,"512
",5353930,"10452
"
28, Saint Barthélemy (France), Saint Barthélemy,France,"500
",10994,"22
"
29, Burundi, Burundi,,"476
",13238559,"27834
"
30, Tuvalu, Tuvalu,,"440
",11396,"26
"
31, India, India,,"435
",1428627663,"3287263
"
32, Curaçao (NL), Curaçao,NL,"433
",192077,"444
"
33, Netherlands, Netherlands,,"424
",18000000,"35524
"
34, Haiti, Haiti,,"423
",11724764,"27750
"
35, Israel, Israel,,"416
",9174520,"22072
"
36, Réunion (France), Réunion,France,"391
",981796,"2510
"
37, Philippines, Philippines,,"391
",117337368,"300000
"
