Rank,Location,Population per square area,Population,Land area,Country,Territory,Latitude,Longitude
1, Macau (China),21000.0,704150.0,33.0, Macau,China,22.157818454,113.560352359
2, Monaco,18000.0,36298.0,2.0, Monaco,,28.6856061,-106.0978466
3, Singapore,8250.0,6014723.0,729.0, Singapore,,1.2894365,103.8499802
4, Hong Kong (China),6725.0,7491609.0,1114.0, Hong Kong,China,51.2027684,6.6846088
5, Gaza Strip (Palestine),5749.0,2098389.0,365.0, Gaza Strip,Palestine,31.4062799722,34.3768964439
6, Gibraltar (UK),4800.0,32688.0,6.8, Gibraltar,UK,52.110385742,-0.52705925
7, Bahrain,1910.0,1485510.0,778.0, Bahrain,,26.051858774,50.564426954
8, Maldives,1750.0,523787.0,300.0, Maldives,,4.17524,73.50928
9, Malta,1700.0,535065.0,315.0, Malta,,18.46625,-74.37994
10, Vatican City,1600.0,764.0,0.49, Vatican City,,41.90225,12.4533
11, Sint Maarten (NL),1300.0,44222.0,34.0, Sint Maarten,NL,52.765369325,4.750358599
12, Bermuda (UK),1200.0,64069.0,54.0, Bermuda,UK,52.498697752,-1.474102359
13, Bangladesh,1165.0,172954319.0,148460.0, Bangladesh,,23.804670475,90.288453901
14, Guernsey (UK),990.0,63544.0,64.0, Guernsey,UK,49.4820316063,-2.5215651904
15, Jersey (UK),964.0,111803.0,116.0, Jersey,UK,49.2142106489,-2.1327966852
16, Mayotte (France),913.0,335995.0,368.0, Mayotte,France,45.7390031,3.196598
17, Palestine,892.0,5371230.0,6020.0, Palestine,,31.912719787,35.204684057
18, Taiwan,676.0,23923277.0,35410.0, Taiwan,,23.9791,120.982859
19, Mauritius,657.0,1300557.0,1979.0, Mauritius,,-20.283556219,57.571817464
20, Barbados,654.0,281996.0,431.0, Barbados,,20.6132795,-103.4544577
21, Nauru,610.0,12780.0,21.0, Nauru,,-0.528540693,166.93419494
22, Saint Martin (France),610.0,32077.0,53.0, Saint Martin,France,45.1787,5.76281
23, Aruba (NL),590.0,106277.0,180.0, Aruba,NL,-29.518126,31.227188
24, San Marino,550.0,33642.0,61.0, San Marino,,31.8653964,-116.6564134
25, Rwanda,535.0,14094683.0,26338.0, Rwanda,,-1.998394957,29.95631261
26, South Korea,516.0,51784059.0,100413.0, South Korea,,33.52,126.9
27, Lebanon,512.0,5353930.0,10452.0, Lebanon,,44.538234,-122.907067
28, Saint Barthélemy (France),500.0,10994.0,22.0, Saint Barthélemy,France,47.749143627,6.588669147
29, Burundi,476.0,13238559.0,27834.0, Burundi,,22.5079261,86.575051
30, Tuvalu,440.0,11396.0,26.0, Tuvalu,,-7.470559191,178.67158
31, India,435.0,1428627663.0,3287263.0, India,,28.670895,77.734247
32, Curaçao (NL),433.0,192077.0,444.0, Curaçao,NL,52.18089,5.98871
33, Netherlands,424.0,18000000.0,35524.0, Netherlands,,52.249375293,5.616126398
34, Haiti,423.0,11724764.0,27750.0, Haiti,,19.33333,-72.38333
35, Israel,416.0,9174520.0,22072.0, Israel,,16.8140307,-92.0953118
36, Réunion (France),391.0,981796.0,2510.0, Réunion,France,45.6313126,0.1410796
37, Philippines,391.0,117337368.0,300000.0, Philippines,,13.9125,122.1726
38, Belgium,383.0,11686140.0,30528.0, Belgium,,51.2097385,4.4177166
39, Comoros,381.0,852075.0,2235.0, Comoros,,-11.66255353,43.354216364
40, Grenada,366.0,126184.0,345.0, Grenada,,25.34445,-98.94518
41, Puerto Rico (US),361.0,3205691.0,8868.0, Puerto Rico,US,18.222606498,-66.468953431
42, Martinique (France),337.0,366981.0,1090.0, Martinique,France,49.0366,3.9799
43, Sri Lanka,334.0,21893579.0,65610.0, Sri Lanka,,7.617678409,80.698632418
44, Japan,326.0,123294513.0,377930.0, Japan,,19.4205837,-99.1648488
45, Guam (US),320.0,172952.0,541.0, Guam,US,13.4427595474,144.7694516967
46, El Salvador,303.0,6364943.0,21041.0, El Salvador,,24.4496654388,-100.9046982297
47, Pakistan,302.0,240485658.0,796095.0, Pakistan,,30.314282999,70.210103639
48, Trinidad and Tobago,299.0,1534937.0,5127.0, Trinidad and Tobago,,10.472674276,-61.260488137
49, Vietnam,298.0,98858950.0,331340.0, Vietnam,,30.33568,-111.57579
50, Saint Lucia,293.0,180251.0,616.0, Saint Lucia,,13.898639726,-60.967300456
51, U.S. Virgin Islands (US),285.0,98750.0,347.0, U.S. Virgin Islands,US,17.728114454,-64.8190875
52, United Kingdom,279.0,67596281.0,242495.0, United Kingdom,,54.52746,-1.55378
53, Saint Vincent and the Grenadines,267.0,103699.0,389.0, Saint Vincent and the Grenadines,,13.201840619,-61.200751472
54, Cayman Islands (UK),263.0,69310.0,264.0, Cayman Islands,UK,19.318423295,-81.243220393
55, Jamaica,257.0,2825544.0,10991.0, Jamaica,,21.1400368,-100.7401653
56, Luxembourg,253.0,654768.0,2586.0, Luxembourg,,49.776828429,6.092325247
57, Liechtenstein,247.0,39585.0,160.0, Liechtenstein,,47.14114224,9.553182027
58, Gambia,246.0,2773168.0,11295.0, Gambia,,-8.7875,121.4144
59, Nigeria,249.0,230842743.0,923768.0, Nigeria,,9.593696882,8.106777828
60, Kuwait,242.0,4310108.0,17818.0, Kuwait,,29.355337252,47.612165881
61, Guadeloupe (France),242.0,395839.0,1639.0, Guadeloupe,France,50.3604924,3.5621842
62, São Tomé and Príncipe,241.0,231856.0,964.0, São Tomé and Príncipe,,0.239310793,6.602059996
63, Seychelles,236.0,107660.0,457.0, Seychelles,,-4.678652264,55.467262116
64, Qatar,233.0,2716391.0,11637.0, Qatar,,-15.16917,40.02139
65, Germany,233.0,83294633.0,357581.0, Germany,,51.110631049,10.392277932
66, Dominican Republic,233.0,11332973.0,48671.0, Dominican Republic,,18.896684834,-70.490036171
67, Marshall Islands,232.0,41996.0,181.0, Marshall Islands,,7.069111712,171.29531
68, Malawi,221.0,20931751.0,94552.0, Malawi,,-9.45624,33.03402
69, American Samoa (US),221.0,43915.0,199.0, American Samoa,US,-13.9660155809,-170.0796079741
70, North Korea,217.0,26160822.0,120538.0, North Korea,,39.51667,124.7
71, Antigua and Barbuda,213.0,94298.0,442.0, Antigua and Barbuda,,17.077664637,-61.798710121
72, Switzerland,213.0,8796669.0,41291.0, Switzerland,,46.4067,9.22027
73, Nepal,210.0,30896590.0,147181.0, Nepal,,19.077155,-98.249771
74, British Virgin Islands (UK),209.0,31538.0,151.0, British Virgin Islands,UK,18.430308339,-64.5942075
75, Uganda,201.0,48582334.0,241550.0, Uganda,,0.4152084,34.6127191
76, Italy,195.0,58870763.0,302068.0, Italy,,48.8680103,2.3540336
77, Kiribati,184.0,133515.0,726.0, Kiribati,,1.851840503,-157.357932638
78, Saint Kitts and Nevis,183.0,47755.0,261.0, Saint Kitts and Nevis,,17.339711689,-62.765603846
79, Anguilla (UK),175.0,15900.0,91.0, Anguilla,UK,18.22460278,-63.059622956
80, Andorra,171.0,80088.0,468.0, Andorra,,42.545303201,1.576286302
81, Guatemala,166.0,18092026.0,108889.0, Guatemala,,21.754797,-103.0069847
82, Micronesia,164.0,115224.0,702.0, Micronesia,,6.880382388,158.227518485
83, Togo,159.0,9053799.0,56785.0, Togo,,0.2471655,32.4717654
84, Tokelau (New Zealand),158.0,1893.0,12.0, Tokelau,New Zealand,-37.99822,176.37021
85, Kosovo,153.0,1663595.0,10905.0, Kosovo,,42.581507721,20.891573227
86, China,149.0,1425671352.0,9600000.0, China,,25.4801248426,-98.9723782964
87, Cape Verde,148.0,598682.0,4033.0, Cape Verde,,15.083629282,-23.624671988
88, Isle of Man,148.0,84710.0,572.0, Isle of Man,,54.228230973,-4.538760938
89, Indonesia,145.0,277534123.0,1910931.0, Indonesia,,-0.989818182,113.915865
90, Tonga,144.0,107773.0,747.0, Tonga,,0.5054968,101.4379723
91, Ghana,143.0,34121985.0,238537.0, Ghana,,-12.8581734,39.5277934
92, Thailand,140.0,71801279.0,513140.0, Thailand,,18.7760957357,100.773934968
93, Denmark,138.0,5910913.0,42947.0, Denmark,,33.322248,-81.1426261
