Rank,Location,Population per square area,Population,Land area,Territory,Country,Latitude,Longitude
1, Macau (China),21000.0,704150.0,33.0, Macau,China,22.157818454,113.560352359
2, Monaco,18000.0,36298.0,2.0, Monaco,,28.6856061,-106.0978466
3, Singapore,8250.0,6014723.0,729.0, Singapore,,1.301662,103.853357
4, Hong Kong (China),6725.0,7491609.0,1114.0, Hong Kong,China,22.351958323,114.119385987
5, Gaza Strip (Palestine),5749.0,2098389.0,365.0, Gaza Strip,Palestine,31.4062799722,34.3768964439
6, Gibraltar (UK),4800.0,32688.0,6.8, Gibraltar,UK,36.1449106,-5.3532522
7, Bahrain,1910.0,1485510.0,778.0, Bahrain,,19.5242098,101.9712516
8, Maldives,1750.0,523787.0,300.0, Maldives,,19.5242098,101.9712516
9, Malta,1700.0,535065.0,315.0, Malta,,6.421124,124.9446646
10, Vatican City,1600.0,764.0,0.49, Vatican City,,23.0843988,72.6518878
11, Sint Maarten (NL),1300.0,44222.0,34.0, Sint Maarten,NL,52.765369325,4.750358599
12, Bermuda (UK),1200.0,64069.0,54.0, Bermuda,UK,52.498697752,-1.474102359
13, Bangladesh,1165.0,172954319.0,148460.0, Bangladesh,,48.8695653,2.4199215
14, Guernsey (UK),990.0,63544.0,64.0, Guernsey,UK,49.48120934,-2.52237304
15, Jersey (UK),964.0,111803.0,116.0, Jersey,UK,49.214025912,-2.132719075
16, Mayotte (France),913.0,335995.0,368.0, Mayotte,France,45.7390031,3.196598
17, Palestine,892.0,5371230.0,6020.0, Palestine,,18.3397022,-93.1853797
18, Taiwan,676.0,23923277.0,35410.0, Taiwan,,19.8290946,-90.5349116
19, Mauritius,657.0,1300557.0,1979.0, Mauritius,,26.57917,-112.09625
20, Barbados,654.0,281996.0,431.0, Barbados,,20.6132795,-103.4544577
21, Nauru,610.0,12780.0,21.0, Nauru,,29.205,52.7487
22, Saint Martin (France),610.0,32077.0,53.0, Saint Martin,France,45.1787,5.76281
23, Aruba (NL),590.0,106277.0,180.0, Aruba,NL,-29.518126,31.227188
24, San Marino,550.0,33642.0,61.0, San Marino,,31.8653964,-116.6564134
25, Rwanda,535.0,14094683.0,26338.0, Rwanda,,-2.9388,119.3803
26, South Korea,516.0,51784059.0,100413.0, South Korea,,33.52,126.9
27, Lebanon,512.0,5353930.0,10452.0, Lebanon,,30.0077861,-107.5627409
28, Saint Barthélemy (France),500.0,10994.0,22.0, Saint Barthélemy,France,17.902808611,-62.829796919
29, Burundi,476.0,13238559.0,27834.0, Burundi,,19.5242098,101.9712516
30, Tuvalu,440.0,11396.0,26.0, Tuvalu,,18.7760957357,100.773934968
31, India,435.0,1428627663.0,3287263.0, India,,28.670895,77.734247
32, Curaçao (NL),433.0,192077.0,444.0, Curaçao,NL,52.18089,5.98871
33, Netherlands,424.0,18000000.0,35524.0, Netherlands,,19.5242098,101.9712516
34, Haiti,423.0,11724764.0,27750.0, Haiti,,19.33333,-72.38333
35, Israel,416.0,9174520.0,22072.0, Israel,,16.8140307,-92.0953118
36, Réunion (France),391.0,981796.0,2510.0, Réunion,France,-21.133187346,55.532444451
37, Philippines,391.0,117337368.0,300000.0, Philippines,,13.9125,122.1726
38, Belgium,383.0,11686140.0,30528.0, Belgium,,51.2097385,4.4177166
39, Comoros,381.0,852075.0,2235.0, Comoros,,19.5242098,101.9712516
40, Grenada,366.0,126184.0,345.0, Grenada,,25.34445,-98.94518
41, Puerto Rico (US),361.0,3205691.0,8868.0, Puerto Rico,US,18.222606498,-66.468953431
42, Martinique (France),337.0,366981.0,1090.0, Martinique,France,14.653133328,-61.018380562
43, Sri Lanka,334.0,21893579.0,65610.0, Sri Lanka,,46.067945,6.310018
44, Japan,326.0,123294513.0,377930.0, Japan,,19.4205837,-99.1648488
45, Guam (US),320.0,172952.0,541.0, Guam,US,13.443563908,144.777627805
46, El Salvador,303.0,6364943.0,21041.0, El Salvador,,24.4496654388,-100.9046982297
47, Pakistan,302.0,240485658.0,796095.0, Pakistan,,19.5242098,101.9712516
48, Trinidad and Tobago,299.0,1534937.0,5127.0, Trinidad and Tobago,,50.8223039,4.4486076
49, Vietnam,298.0,98858950.0,331340.0, Vietnam,,21.86749,106.26331
50, Saint Lucia,293.0,180251.0,616.0, Saint Lucia,,43.9666633525,10.5149579263
51, U.S. Virgin Islands (US),285.0,98750.0,347.0, U.S. Virgin Islands,US,17.728114454,-64.8190875
52, United Kingdom,279.0,67596281.0,242495.0, United Kingdom,,54.52746,-1.55378
53, Saint Vincent and the Grenadines,267.0,103699.0,389.0, Saint Vincent and the Grenadines,,50.8298056,4.3594259
54, Cayman Islands (UK),263.0,69310.0,264.0, Cayman Islands,UK,19.318423295,-81.243220393
55, Jamaica,257.0,2825544.0,10991.0, Jamaica,,21.1400368,-100.7401653
56, Luxembourg,253.0,654768.0,2586.0, Luxembourg,,19.5242098,101.9712516
57, Liechtenstein,247.0,39585.0,160.0, Liechtenstein,,19.5242098,101.9712516
58, Gambia,246.0,2773168.0,11295.0, Gambia,,20.6670147,-103.7010054
59, Nigeria,249.0,230842743.0,923768.0, Nigeria,,19.5242098,101.9712516
60, Kuwait,242.0,4310108.0,17818.0, Kuwait,,20.06417,-97.73361
61, Guadeloupe (France),242.0,395839.0,1639.0, Guadeloupe,France,16.144752531,-61.65012
62, São Tomé and Príncipe,241.0,231856.0,964.0, São Tomé and Príncipe,,9.0178766793,38.7383461294
63, Seychelles,236.0,107660.0,457.0, Seychelles,,19.5242098,101.9712516
64, Qatar,233.0,2716391.0,11637.0, Qatar,,29.24194,56.91972
65, Germany,233.0,83294633.0,357581.0, Germany,,25.21681,-97.92186
66, Dominican Republic,233.0,11332973.0,48671.0, Dominican Republic,,18.4718657,-69.8913132
67, Marshall Islands,232.0,41996.0,181.0, Marshall Islands,,7.113,171.252
68, Malawi,221.0,20931751.0,94552.0, Malawi,,25.66544,-100.307947
69, American Samoa (US),221.0,43915.0,199.0, American Samoa,US,-14.30068806,-170.718116122
70, North Korea,217.0,26160822.0,120538.0, North Korea,,39.51667,124.7
71, Antigua and Barbuda,213.0,94298.0,442.0, Antigua and Barbuda,,19.5242098,101.9712516
72, Switzerland,213.0,8796669.0,41291.0, Switzerland,,46.4067,9.22027
73, Nepal,210.0,30896590.0,147181.0, Nepal,,19.077155,-98.249771
74, British Virgin Islands (UK),209.0,31538.0,151.0, British Virgin Islands,UK,18.430308339,-64.5942075
75, Uganda,201.0,48582334.0,241550.0, Uganda,,19.0293273,-98.2018797
76, Italy,195.0,58870763.0,302068.0, Italy,,39.7655,30.5083
77, Kiribati,184.0,133515.0,726.0, Kiribati,,19.5242098,101.9712516
78, Saint Kitts and Nevis,183.0,47755.0,261.0, Saint Kitts and Nevis,,17.1505998732,-62.5866351412
79, Anguilla (UK),175.0,15900.0,91.0, Anguilla,UK,18.22460278,-63.059622956
80, Andorra,171.0,80088.0,468.0, Andorra,,42.6116548,-5.5605386
81, Guatemala,166.0,18092026.0,108889.0, Guatemala,,21.754797,-103.0069847
82, Micronesia,164.0,115224.0,702.0, Micronesia,,19.5242098,101.9712516
83, Togo,159.0,9053799.0,56785.0, Togo,,11.1126907,124.6519651
84, Tokelau (New Zealand),158.0,1893.0,12.0, Tokelau,New Zealand,-37.99822,176.37021
85, Kosovo,153.0,1663595.0,10905.0, Kosovo,,18.7760957357,100.773934968
86, China,149.0,1425671352.0,9600000.0, China,,29.35955,112.40243
87, Cape Verde,148.0,598682.0,4033.0, Cape Verde,,23.36461,-106.13514
88, Isle of Man,148.0,84710.0,572.0, Isle of Man,,65.38333,22.0
89, Indonesia,145.0,277534123.0,1910931.0, Indonesia,,0.6770906,127.4499331
90, Tonga,144.0,107773.0,747.0, Tonga,,-3.1489,119.9417
91, Ghana,143.0,34121985.0,238537.0, Ghana,,19.829677,85.670088
92, Thailand,140.0,71801279.0,513140.0, Thailand,,18.7760957357,100.773934968
93, Denmark,138.0,5910913.0,42947.0, Denmark,,22.7767209,75.8858655
